unique id,name,year of study,department,book serial no.,book name,date of issue,submit date,phone no.,email id
STU1058,Sanya Nair,2,Physics,BK-19665,Modern Economics,2026-02-18,2026-03-04,9749016169,sanya.nair10@university.edu
STU1059,Rohan Verma,2,Literature,BK-44057,The Alchemist,2026-05-03,2026-05-12,8878406758,rohan.verma31@university.edu
STU1060,Rohan Verma,4,Electrical Engineering,BK-78132,Microbiology Intro,2026-08-10,2026-08-17,8927292012,rohan.verma29@university.edu
STU1061,Rahul Das,4,Mathematics,BK-35005,The Alchemist,2026-05-20,2026-06-04,9178765787,rahul.das87@university.edu
STU1062,Pooja Singh,4,Mathematics,BK-37479,Digital Logic Design,2026-03-16,2026-03-28,7362755628,pooja.singh16@university.edu
STU1063,Manish Malhotra,3,Civil Engineering,BK-39494,The Great Gatsby,2025-12-29,2026-01-07,7166478919,manish.malhotra45@university.edu
STU1064,Manish Bose,4,Computer Science,BK-49377,Modern Economics,2026-04-03,2026-04-14,7585039005,manish.bose17@university.edu
STU1065,Manish Kulkarni,1,Economics,BK-60519,Clean Code,2025-12-18,2026-01-05,7937616074,manish.kulkarni80@university.edu
STU1066,Priya Patel,3,Civil Engineering,BK-86003,Microbiology Intro,2026-11-10,2026-11-20,9945078084,priya.patel31@university.edu
STU1067,Priya Kapoor,4,Computer Science,BK-62090,Calculus Early Transcendentals,2026-07-23,2026-08-02,9056075463,priya.kapoor88@university.edu
STU1068,Ananya Singh,1,Electrical Engineering,BK-93343,To Kill a Mockingbird,2026-09-08,2026-09-21,9285762442,ananya.singh47@university.edu
STU1069,Tara Nair,3,Economics,BK-42927,Clean Code,2026-04-02,2026-04-21,7307753553,tara.nair10@university.edu
STU1070,Meera Verma,2,Computer Science,BK-17321,1984,2025-12-11,2026-01-01,7633472289,meera.verma22@university.edu
STU1071,Aditya Joshi,3,Physics,BK-12784,Introduction to Algorithms,2026-11-19,2026-12-10,8186289874,aditya.joshi45@university.edu
STU1072,Rohan Singh,3,Mechanical Engineering,BK-17169,Data Structures 101,2026-04-16,2026-04-30,8669621577,rohan.singh87@university.edu
STU1073,Sneha Joshi,1,Mathematics,BK-73711,Calculus Early Transcendentals,2026-03-07,2026-03-16,9107358069,sneha.joshi45@university.edu
STU1074,Manish Kapoor,3,Mathematics,BK-75875,Clean Code,2026-03-05,2026-03-26,7161859815,manish.kapoor41@university.edu
STU1075,Sneha Sharma,1,Electrical Engineering,BK-16309,Microbiology Intro,2026-09-04,2026-09-14,7149205606,sneha.sharma95@university.edu
STU1076,Sneha Singh,1,Mathematics,BK-25978,The Art of War,2026-10-10,2026-10-18,8173844973,sneha.singh40@university.edu
STU1077,Aditya Singh,2,Civil Engineering,BK-52733,Data Structures 101,2026-01-07,2026-01-25,8918905217,aditya.singh54@university.edu
STU1078,Kabir Malhotra,1,Mechanical Engineering,BK-35217,The Alchemist,2026-11-05,2026-11-21,7329613881,kabir.malhotra80@university.edu
STU1079,Sneha Patel,3,Economics,BK-50108,Modern Economics,2026-11-25,2026-12-12,9538477183,sneha.patel38@university.edu
STU1080,Ananya Verma,3,Civil Engineering,BK-53069,Psychology of Money,2026-11-15,2026-11-29,9725205556,ananya.verma63@university.edu
STU1081,Aditya Kapoor,2,Literature,BK-46824,To Kill a Mockingbird,2026-08-14,2026-09-03,9408814850,aditya.kapoor66@university.edu
STU1082,Priya Joshi,3,Mathematics,BK-34456,Introduction to Algorithms,2026-01-08,2026-01-20,7332771533,priya.joshi38@university.edu
STU1083,Arjun Malhotra,3,Civil Engineering,BK-46236,The Art of War,2026-10-10,2026-10-27,9208654505,arjun.malhotra23@university.edu
STU1084,Kabir Reddy,1,Civil Engineering,BK-49463,To Kill a Mockingbird,2026-07-05,2026-07-20,7272374004,kabir.reddy29@university.edu
STU1085,Pooja Nair,2,Civil Engineering,BK-43003,1984,2026-02-05,2026-02-17,8242878063,pooja.nair71@university.edu
STU1086,Tara Joshi,1,Literature,BK-41593,The Art of War,2026-04-18,2026-04-30,9164337615,tara.joshi91@university.edu
STU1087,Pooja Kulkarni,3,Electrical Engineering,BK-22421,Introduction to Algorithms,2026-02-02,2026-02-22,9462828229,pooja.kulkarni96@university.edu
STU1088,Manish Sharma,2,Mathematics,BK-53710,Introduction to Algorithms,2026-10-23,2026-11-02,7755727772,manish.sharma62@university.edu
STU1089,Sanya Joshi,1,Computer Science,BK-71243,Digital Logic Design,2026-08-10,2026-08-19,7021856640,sanya.joshi29@university.edu
STU1090,Meera Singh,4,Physics,BK-76650,The Great Gatsby,2026-07-27,2026-08-12,9924373600,meera.singh97@university.edu
STU1091,Priya Bose,4,Physics,BK-54223,The Art of War,2026-12-14,2026-12-22,9009082842,priya.bose77@university.edu
STU1092,Aditya Kapoor,4,Civil Engineering,BK-98058,1984,2026-01-27,2026-02-13,8157279312,aditya.kapoor72@university.edu
STU1093,Vikram Patel,1,Computer Science,BK-46207,The Alchemist,2026-03-24,2026-03-31,9335441087,vikram.patel16@university.edu
STU1094,Kabir Bose,3,Literature,BK-88969,Modern Economics,2026-03-14,2026-03-22,7238364724,kabir.bose45@university.edu
STU1095,Ananya Patel,3,Mathematics,BK-23601,Modern Economics,2026-03-11,2026-03-28,7804671795,ananya.patel89@university.edu
STU1096,Vijay Kapoor,4,Literature,BK-92678,Introduction to Algorithms,2026-07-08,2026-07-18,9359148218,vijay.kapoor55@university.edu
STU1097,Riya Nair,2,Physics,BK-14864,The Art of War,2026-04-12,2026-05-01,7778693621,riya.nair53@university.edu
STU1098,Vikram Nair,4,Literature,BK-31810,Microbiology Intro,2026-06-26,2026-07-06,7098978755,vikram.nair37@university.edu
STU1099,Zoya Singh,4,Civil Engineering,BK-17032,Clean Code,2025-12-16,2026-01-04,7125997653,zoya.singh59@university.edu
STU1100,Sanya Singh,4,Physics,BK-43041,Clean Code,2026-09-27,2026-10-08,9983551702,sanya.singh27@university.edu
STU1101,Amit Sharma,2,Economics,BK-34146,Calculus Early Transcendentals,2026-12-01,2026-12-14,8016968086,amit.sharma73@university.edu
STU1102,Arjun Verma,2,Mechanical Engineering,BK-72111,The Great Gatsby,2026-06-28,2026-07-17,8424389157,arjun.verma83@university.edu
STU1103,Priya Kulkarni,4,Mechanical Engineering,BK-21093,Digital Logic Design,2026-06-23,2026-06-30,8308676699,priya.kulkarni74@university.edu
STU1104,Rahul Sharma,1,Literature,BK-22085,The Alchemist,2026-08-03,2026-08-18,8418821516,rahul.sharma66@university.edu
STU1105,Vijay Sharma,3,Mechanical Engineering,BK-72138,Modern Economics,2026-03-20,2026-03-29,8115125997,vijay.sharma68@university.edu
STU1106,Meera Gupta,1,Physics,BK-10290,1984,2026-09-21,2026-10-12,7491258276,meera.gupta81@university.edu
STU1107,Manish Malhotra,3,Mechanical Engineering,BK-47743,Brave New World,2026-07-30,2026-08-19,8646619158,manish.malhotra79@university.edu
STU1108,Kabir Patel,4,Mathematics,BK-62760,The Great Gatsby,2026-03-04,2026-03-13,9958969735,kabir.patel27@university.edu
STU1109,Manish Malhotra,1,Physics,BK-12821,Digital Logic Design,2026-07-13,2026-07-23,8599664075,manish.malhotra21@university.edu
STU1110,Vikram Verma,2,Economics,BK-84240,Calculus Early Transcendentals,2026-12-07,2026-12-16,9411737016,vikram.verma37@university.edu
STU1111,Rohan Reddy,2,Physics,BK-42901,Digital Logic Design,2026-04-08,2026-04-19,9002388071,rohan.reddy11@university.edu
STU1112,Ananya Sharma,3,Economics,BK-59834,The Alchemist,2026-08-23,2026-09-12,7867416221,ananya.sharma69@university.edu
STU1113,Ishani Iyer,4,Mechanical Engineering,BK-53814,1984,2026-05-09,2026-05-28,9678062416,ishani.iyer88@university.edu
STU1114,Zoya Verma,2,Economics,BK-75704,Introduction to Algorithms,2026-12-04,2026-12-22,8576162342,zoya.verma47@university.edu
STU1115,Ananya Patel,2,Physics,BK-58577,Introduction to Algorithms,2025-12-14,2026-01-04,8511315733,ananya.patel40@university.edu
STU1116,Aditya Das,3,Literature,BK-27921,Calculus Early Transcendentals,2026-05-30,2026-06-14,9049142351,aditya.das85@university.edu
STU1117,Rohan Nair,3,Mathematics,BK-26516,1984,2026-08-16,2026-09-05,8921803448,rohan.nair22@university.edu
STU1118,Rahul Singh,1,Computer Science,BK-11097,Data Structures 101,2026-06-14,2026-07-01,8151881900,rahul.singh30@university.edu
STU1119,Arjun Patel,2,Electrical Engineering,BK-27564,Clean Code,2026-04-18,2026-04-25,8685334236,arjun.patel21@university.edu
STU1120,Riya Gupta,1,Literature,BK-60536,The Alchemist,2026-08-18,2026-09-02,9595445374,riya.gupta51@university.edu
STU1121,Sanya Bose,2,Economics,BK-23952,Introduction to Algorithms,2026-03-03,2026-03-21,9876033614,sanya.bose47@university.edu
STU1122,Amit Kulkarni,3,Mechanical Engineering,BK-41328,Calculus Early Transcendentals,2026-10-26,2026-11-09,9143198573,amit.kulkarni64@university.edu
STU1123,Aditya Gupta,4,Civil Engineering,BK-95440,Modern Economics,2026-10-19,2026-10-31,7849818038,aditya.gupta17@university.edu
STU1124,Karan Das,1,Literature,BK-28134,1984,2026-08-19,2026-08-30,9904828132,karan.das85@university.edu
STU1125,Manish Kulkarni,2,Civil Engineering,BK-99243,Modern Economics,2026-12-13,2026-12-28,9212178887,manish.kulkarni60@university.edu
STU1126,Arjun Patel,4,Literature,BK-47005,Microbiology Intro,2026-11-13,2026-11-30,7117912894,arjun.patel18@university.edu
STU1127,Ananya Joshi,3,Literature,BK-95937,Microbiology Intro,2025-12-18,2026-01-02,8381027718,ananya.joshi25@university.edu
STU1128,Karan Bose,4,Computer Science,BK-74588,Physics for Scientists,2026-02-17,2026-02-28,7306826519,karan.bose18@university.edu
STU1129,Ananya Kulkarni,3,Electrical Engineering,BK-11752,Calculus Early Transcendentals,2026-04-12,2026-04-27,8226471559,ananya.kulkarni47@university.edu
STU1130,Sanya Reddy,2,Economics,BK-23887,The Art of War,2026-01-07,2026-01-20,8158995526,sanya.reddy24@university.edu
STU1131,Vikram Kulkarni,4,Mechanical Engineering,BK-90607,Physics for Scientists,2026-09-20,2026-10-05,9783734158,vikram.kulkarni78@university.edu
STU1132,Karan Singh,3,Civil Engineering,BK-50940,Microbiology Intro,2026-09-17,2026-09-24,8751813964,karan.singh38@university.edu
STU1133,Priya Reddy,3,Computer Science,BK-14458,Data Structures 101,2026-09-12,2026-10-01,9636372080,priya.reddy64@university.edu
STU1134,Sanya Kulkarni,1,Physics,BK-28780,The Art of War,2026-07-31,2026-08-21,9622896493,sanya.kulkarni52@university.edu
STU1135,Meera Kapoor,3,Physics,BK-76358,Data Structures 101,2026-08-20,2026-09-01,7038764419,meera.kapoor52@university.edu
STU1136,Riya Gupta,3,Mechanical Engineering,BK-91957,The Great Gatsby,2026-04-16,2026-05-03,9815671303,riya.gupta61@university.edu
STU1137,Riya Chawla,3,Literature,BK-30395,Digital Logic Design,2026-04-03,2026-04-12,9514773752,riya.chawla20@university.edu
STU1138,Aditya Nair,1,Mechanical Engineering,BK-13359,1984,2025-12-21,2026-01-07,9075871868,aditya.nair36@university.edu
STU1139,Aditya Gupta,4,Literature,BK-13713,1984,2026-06-20,2026-07-09,9976667701,aditya.gupta64@university.edu
STU1140,Tara Kapoor,2,Computer Science,BK-15002,The Great Gatsby,2026-08-02,2026-08-13,9619121972,tara.kapoor55@university.edu
STU1141,Priya Kulkarni,4,Literature,BK-48847,The Alchemist,2026-08-19,2026-09-07,9023662176,priya.kulkarni21@university.edu
STU1142,Amit Kulkarni,4,Computer Science,BK-11732,To Kill a Mockingbird,2026-01-18,2026-01-31,7053263021,amit.kulkarni40@university.edu
STU1143,Vijay Iyer,1,Electrical Engineering,BK-37637,Calculus Early Transcendentals,2026-10-25,2026-11-02,8653517219,vijay.iyer74@university.edu
STU1144,Ishani Kulkarni,1,Mathematics,BK-21321,1984,2026-07-13,2026-08-03,9136673247,ishani.kulkarni18@university.edu
STU1145,Karan Patel,2,Civil Engineering,BK-87396,Physics for Scientists,2026-08-17,2026-09-07,9306137262,karan.patel15@university.edu
STU1146,Rahul Patel,1,Electrical Engineering,BK-71922,1984,2026-10-02,2026-10-15,9629237207,rahul.patel85@university.edu
STU1147,Tara Kulkarni,2,Literature,BK-75987,Psychology of Money,2026-02-09,2026-02-26,7475951617,tara.kulkarni81@university.edu
STU1148,Priya Singh,4,Civil Engineering,BK-96483,1984,2026-04-08,2026-04-29,7967873430,priya.singh65@university.edu
STU1149,Manish Nair,3,Computer Science,BK-76995,Clean Code,2026-10-27,2026-11-17,8059067808,manish.nair89@university.edu
STU1150,Pooja Gupta,3,Electrical Engineering,BK-68597,Microbiology Intro,2026-09-13,2026-09-20,7229254361,pooja.gupta37@university.edu
STU1151,Rohan Patel,2,Mechanical Engineering,BK-85212,The Art of War,2026-08-27,2026-09-05,9247818624,rohan.patel80@university.edu
STU1152,Rohan Chawla,1,Electrical Engineering,BK-80542,Data Structures 101,2026-08-31,2026-09-08,7858942431,rohan.chawla98@university.edu
STU1153,Sanya Patel,3,Literature,BK-74937,Modern Economics,2026-01-13,2026-01-29,8744778445,sanya.patel87@university.edu
STU1154,Pooja Singh,1,Computer Science,BK-28111,Microbiology Intro,2026-01-17,2026-01-26,7131576364,pooja.singh20@university.edu
STU1155,Pooja Bose,1,Computer Science,BK-56797,The Art of War,2026-03-14,2026-03-29,8264194752,pooja.bose21@university.edu
STU1156,Vikram Kulkarni,3,Civil Engineering,BK-94231,Brave New World,2026-05-09,2026-05-21,9245815275,vikram.kulkarni85@university.edu
STU1157,Priya Reddy,3,Civil Engineering,BK-20498,Data Structures 101,2026-10-31,2026-11-15,9906917344,priya.reddy75@university.edu
STU1158,Vijay Kulkarni,1,Computer Science,BK-80253,Data Structures 101,2026-06-14,2026-07-05,8904147705,vijay.kulkarni49@university.edu
STU1159,Manish Iyer,3,Computer Science,BK-88198,Introduction to Algorithms,2026-02-03,2026-02-16,8318375693,manish.iyer94@university.edu
STU1160,Rahul Bose,2,Economics,BK-75545,Microbiology Intro,2026-10-12,2026-10-25,9128705128,rahul.bose98@university.edu
STU1161,Aditya Nair,4,Civil Engineering,BK-22559,Clean Code,2026-10-12,2026-10-20,8475314550,aditya.nair97@university.edu
STU1162,Zoya Kapoor,4,Economics,BK-63524,Brave New World,2026-04-09,2026-04-28,9863602083,zoya.kapoor43@university.edu
STU1163,Manish Verma,3,Physics,BK-76197,Calculus Early Transcendentals,2026-07-15,2026-07-22,9179987361,manish.verma12@university.edu
STU1164,Kabir Kapoor,2,Computer Science,BK-60778,Modern Economics,2026-07-28,2026-08-09,7483236170,kabir.kapoor31@university.edu
STU1165,Amit Iyer,3,Physics,BK-22545,The Great Gatsby,2026-04-08,2026-04-23,7151445419,amit.iyer31@university.edu
STU1166,Riya Gupta,4,Mathematics,BK-25742,Brave New World,2026-05-18,2026-05-27,8399075119,riya.gupta15@university.edu
STU1167,Vikram Chawla,1,Mechanical Engineering,BK-14647,Calculus Early Transcendentals,2026-12-18,2026-12-27,8028198095,vikram.chawla20@university.edu
STU1168,Meera Nair,4,Computer Science,BK-43601,1984,2026-06-20,2026-07-06,7095086364,meera.nair48@university.edu
STU1169,Vikram Reddy,4,Electrical Engineering,BK-55695,Physics for Scientists,2026-01-21,2026-02-10,8366396716,vikram.reddy87@university.edu
STU1170,Sneha Malhotra,1,Literature,BK-82186,Introduction to Algorithms,2026-09-06,2026-09-20,8605075031,sneha.malhotra19@university.edu
STU1171,Manish Singh,3,Computer Science,BK-72278,The Great Gatsby,2026-11-02,2026-11-09,9557508916,manish.singh17@university.edu
STU1172,Vijay Joshi,1,Mechanical Engineering,BK-25933,The Alchemist,2026-09-26,2026-10-03,7707265654,vijay.joshi65@university.edu
STU1173,Amit Verma,2,Mathematics,BK-68226,Physics for Scientists,2026-10-07,2026-10-26,9764934410,amit.verma23@university.edu
STU1174,Rohan Gupta,2,Computer Science,BK-69508,Microbiology Intro,2026-04-27,2026-05-15,9333795998,rohan.gupta79@university.edu
STU1175,Arjun Malhotra,1,Literature,BK-50760,The Alchemist,2026-06-06,2026-06-13,8911241719,arjun.malhotra75@university.edu
STU1176,Riya Gupta,3,Civil Engineering,BK-59414,The Alchemist,2026-06-20,2026-06-30,8094627123,riya.gupta47@university.edu
STU1177,Vijay Gupta,3,Economics,BK-53764,1984,2026-05-20,2026-06-05,8969364562,vijay.gupta22@university.edu
STU1178,Riya Singh,4,Literature,BK-97314,Digital Logic Design,2026-11-24,2026-12-11,9792071123,riya.singh85@university.edu
STU1179,Zoya Bose,1,Mathematics,BK-44360,Data Structures 101,2026-09-26,2026-10-15,8552564913,zoya.bose21@university.edu
STU1180,Tara Joshi,4,Literature,BK-25219,Psychology of Money,2026-07-13,2026-07-29,7215985747,tara.joshi58@university.edu
STU1181,Amit Joshi,3,Computer Science,BK-11365,To Kill a Mockingbird,2026-07-05,2026-07-25,7028225653,amit.joshi64@university.edu
STU1182,Riya Iyer,1,Economics,BK-15326,Calculus Early Transcendentals,2026-08-11,2026-08-22,8996366896,riya.iyer21@university.edu
STU1183,Arjun Singh,3,Civil Engineering,BK-36343,Psychology of Money,2026-05-07,2026-05-14,9241779454,arjun.singh20@university.edu
STU1184,Pooja Verma,2,Economics,BK-67106,Microbiology Intro,2026-10-24,2026-11-05,9821041943,pooja.verma88@university.edu
STU1185,Sanya Singh,2,Economics,BK-43828,Data Structures 101,2026-11-23,2026-12-08,7317665836,sanya.singh66@university.edu
STU1186,Zoya Kulkarni,1,Electrical Engineering,BK-82478,The Art of War,2026-01-02,2026-01-22,7427462555,zoya.kulkarni16@university.edu
STU1187,Karan Sharma,1,Mathematics,BK-54882,Calculus Early Transcendentals,2026-01-01,2026-01-10,7226217888,karan.sharma83@university.edu
STU1188,Ananya Gupta,4,Literature,BK-65362,Physics for Scientists,2026-08-19,2026-09-05,8325457390,ananya.gupta36@university.edu
STU1189,Sneha Malhotra,4,Electrical Engineering,BK-54298,Calculus Early Transcendentals,2026-11-03,2026-11-14,7615511774,sneha.malhotra90@university.edu
STU1190,Vijay Malhotra,4,Computer Science,BK-22715,Modern Economics,2026-08-23,2026-09-13,8802657944,vijay.malhotra11@university.edu
STU1191,Arjun Kapoor,1,Mathematics,BK-10464,The Art of War,2026-08-24,2026-09-10,8928931895,arjun.kapoor72@university.edu
STU1192,Aditya Singh,3,Mathematics,BK-84312,To Kill a Mockingbird,2026-08-27,2026-09-12,9528987396,aditya.singh18@university.edu
STU1193,Karan Sharma,4,Economics,BK-56452,Physics for Scientists,2026-12-20,2026-12-30,7955839942,karan.sharma40@university.edu
STU1194,Sneha Nair,4,Mathematics,BK-59888,Introduction to Algorithms,2026-07-07,2026-07-20,7006917037,sneha.nair63@university.edu
STU1195,Kabir Kulkarni,3,Computer Science,BK-10783,Microbiology Intro,2026-08-20,2026-09-06,7487335759,kabir.kulkarni67@university.edu
STU1196,Sanya Gupta,1,Civil Engineering,BK-39403,Modern Economics,2026-08-13,2026-08-30,9561084819,sanya.gupta17@university.edu
STU1197,Tara Kapoor,1,Electrical Engineering,BK-87932,Calculus Early Transcendentals,2026-05-14,2026-05-29,9771002947,tara.kapoor92@university.edu
STU1198,Ananya Kapoor,3,Computer Science,BK-83313,The Alchemist,2026-04-12,2026-04-28,7131285884,ananya.kapoor43@university.edu
STU1199,Riya Verma,2,Electrical Engineering,BK-43426,Brave New World,2026-04-04,2026-04-13,8266209447,riya.verma82@university.edu
STU1200,Rahul Verma,2,Civil Engineering,BK-94328,The Great Gatsby,2026-03-28,2026-04-06,7869758630,rahul.verma54@university.edu
STU1201,Ishani Nair,1,Computer Science,BK-29565,To Kill a Mockingbird,2026-02-15,2026-02-25,7912757507,ishani.nair76@university.edu
STU1202,Meera Malhotra,3,Physics,BK-87185,Physics for Scientists,2026-08-15,2026-08-25,9215988665,meera.malhotra29@university.edu
STU1203,Ananya Kulkarni,2,Electrical Engineering,BK-14752,The Alchemist,2026-06-15,2026-06-24,7139292236,ananya.kulkarni52@university.edu
